iter	Passed	Remaining
0	154	154248
1	160	79979
2	165	55101
3	171	42705
4	176	35189
5	182	30200
6	187	26624
7	193	23954
8	198	21901
9	204	20252
10	209	18880
11	216	17795
12	221	16839
13	227	16035
14	233	15331
15	238	14696
16	244	14130
17	249	13635
18	255	13192
19	261	12792
20	266	12425
21	273	12151
22	278	11850
23	284	11556
24	290	11336
25	295	11081
26	301	10849
27	306	10648
28	312	10454
29	317	10267
30	323	10104
31	328	9931
32	333	9772
33	339	9639
34	344	9496
35	349	9355
36	354	9238
37	360	9129
38	366	9026
39	372	8929
40	377	8824
41	382	8727
42	388	8647
43	394	8570
44	400	8499
45	405	8419
46	411	8347
47	418	8293
48	423	8222
49	429	8153
50	435	8095
51	440	8024
52	445	7961
53	451	7911
